Moisture_Content,pH_Level,Carbon_Content,Nitrogen_Content,Phosphorus_Content,Potassium_Content,Microbial_Activity,Processing_Temperature,Processing_Time,Energy_Consumption,Fertilizer_Quality,Cost,Carbon_Footprint,Seasonal_Availability,Waste_Type_Food Waste,Waste_Type_Garden Waste
66.54,6.28,56.52,1.45,1.49,2.71,72.36,64.27,36.45,449.03,16.82,88.05,1.14,0.0,0.0,1.0
79.06,5.66,44.55,2.41,0.52,2.61,53.32,63.25,45.8,375.3,15.56,80.8,1.48,2.0,0.0,1.0
42.83,7.68,50.49,3.49,0.6,2.32,82.83,50.13,41.84,238.31,15.56,57.03,1.61,2.0,0.0,1.0
62.71,5.86,56.12,1.05,0.65,1.65,66.12,52.84,66.75,271.0,10.54,80.33,1.7,1.0,0.0,0.0
39.9,6.41,47.07,1.82,1.13,2.03,167.82,54.47,53.38,390.68,18.02,74.33,0.91,0.0,0.0,1.0
58.27,7.1,52.84,1.01,1.72,1.89,66.87,55.44,66.05,184.63,11.84,59.73,1.83,0.0,0.0,0.0
53.2,7.19,44.91,2.25,1.83,1.68,158.63,52.93,49.3,287.5,14.68,71.13,1.09,1.0,0.0,0.0
78.6,7.3,42.19,3.18,0.87,2.7,107.85,58.21,28.31,361.42,3.43,71.41,1.2,0.0,0.0,1.0
60.43,6.0,55.89,3.4,1.36,1.97,61.01,51.5,46.24,315.8,14.97,69.2,1.6,2.0,0.0,0.0
47.48,6.64,41.98,3.84,1.65,2.67,171.91,65.0,63.46,343.33,13.74,77.09,0.9,0.0,0.0,1.0
35.7,7.35,45.43,2.83,0.93,1.21,136.94,65.75,33.32,318.48,17.58,73.64,1.1,1.0,0.0,1.0
37.56,8.41,57.1,1.76,1.11,1.28,85.36,61.49,28.38,179.69,11.85,63.26,1.84,1.0,1.0,0.0
41.27,7.68,46.93,3.77,1.29,2.95,184.2,51.79,39.81,264.08,11.36,65.89,0.98,0.0,0.0,1.0
42.55,8.27,59.46,3.33,0.7,2.18,56.79,67.8,42.67,312.79,27.99,66.67,1.54,1.0,1.0,0.0
72.53,7.79,59.59,2.72,0.54,2.02,80.27,69.31,38.7,412.03,28.84,79.47,1.4,2.0,0.0,1.0
58.06,7.28,45.37,3.09,0.73,2.05,162.81,54.05,30.49,361.56,17.49,82.13,0.89,2.0,0.0,1.0
56.17,6.08,40.82,3.77,1.44,1.43,156.41,64.09,36.04,270.64,20.17,68.33,1.21,2.0,1.0,0.0
35.74,7.5,54.1,3.14,0.61,2.44,93.39,66.84,56.75,489.76,15.57,97.02,1.09,0.0,1.0,0.0
73.01,7.37,49.02,2.11,0.78,1.17,59.3,60.8,42.52,143.12,18.86,56.97,1.91,1.0,0.0,1.0
66.14,7.31,42.02,3.14,1.01,2.15,178.71,56.47,54.36,182.72,17.02,63.85,1.2,2.0,0.0,0.0
33.38,6.97,54.15,1.12,0.62,2.14,97.05,59.57,49.74,236.53,12.31,63.84,1.43,1.0,1.0,0.0
65.39,7.09,40.62,2.16,0.79,2.83,79.36,60.25,50.35,191.43,14.33,66.42,1.78,1.0,0.0,0.0
57.18,6.5,57.4,2.22,1.87,2.05,127.41,58.01,35.93,350.18,17.04,58.05,1.27,1.0,0.0,0.0
34.09,7.06,42.77,1.5,0.53,1.27,186.53,68.6,49.03,115.82,15.44,54.23,1.44,2.0,0.0,0.0
52.92,6.09,42.55,1.07,1.48,2.15,56.53,64.88,25.13,170.97,11.0,54.52,1.91,1.0,1.0,0.0
54.23,7.92,43.51,1.4,1.08,1.18,164.87,54.83,44.72,217.34,6.6,56.34,1.04,2.0,0.0,0.0
38.29,6.06,59.21,2.96,1.51,1.41,135.87,61.71,51.49,373.34,19.17,79.35,1.15,2.0,1.0,0.0
77.28,5.75,53.86,3.41,1.38,1.06,113.82,63.77,32.74,450.35,21.66,84.56,1.02,2.0,0.0,0.0
72.5,6.81,56.03,3.96,0.84,2.03,161.61,52.8,36.31,419.4,22.51,70.54,0.79,0.0,0.0,1.0
63.45,7.47,47.95,2.04,1.77,1.17,194.87,57.17,34.54,172.83,6.64,56.01,1.25,1.0,0.0,1.0
53.11,6.81,46.73,2.8,1.24,1.94,84.38,68.11,27.39,326.16,16.21,74.59,1.45,0.0,1.0,0.0
50.59,6.33,44.69,3.81,1.73,2.87,71.55,61.34,40.7,112.01,18.62,57.75,2.02,0.0,0.0,1.0
62.55,7.17,49.61,1.5,1.11,2.44,186.93,54.34,70.99,224.21,16.63,69.76,1.15,0.0,0.0,1.0
57.27,6.54,51.04,3.15,1.98,1.15,150.34,52.46,40.99,422.39,21.07,80.03,0.88,0.0,0.0,0.0
33.11,8.3,52.64,3.26,1.66,1.45,115.7,60.36,46.11,282.67,10.16,72.37,1.32,2.0,1.0,0.0
55.63,8.27,45.14,1.27,1.95,2.35,135.99,60.95,55.35,159.98,8.94,52.88,1.56,2.0,0.0,0.0
70.32,7.01,58.97,3.58,1.27,2.79,161.84,56.69,55.13,275.42,22.29,72.55,1.01,1.0,0.0,0.0
52.96,6.48,43.4,3.44,1.21,1.07,165.95,62.61,69.59,179.21,12.62,61.67,1.26,1.0,0.0,0.0
32.6,7.71,59.31,1.1,1.63,2.62,187.98,51.37,65.16,257.28,24.75,74.72,0.83,2.0,0.0,0.0
69.31,5.61,40.3,1.27,1.82,2.12,114.03,52.9,62.11,295.13,14.68,69.62,1.38,1.0,0.0,0.0
40.07,6.92,49.62,1.15,1.95,2.09,94.01,60.93,69.68,239.82,11.45,76.57,1.61,1.0,0.0,0.0
42.93,6.51,46.67,2.0,0.99,2.92,145.95,51.24,35.08,474.79,10.48,90.62,0.74,0.0,0.0,0.0
38.24,8.26,48.98,2.53,1.7,2.5,112.36,67.62,53.62,325.01,6.71,75.12,1.18,0.0,1.0,0.0
46.51,5.54,51.41,2.6,0.82,2.7,139.19,52.84,66.59,437.16,20.15,88.52,1.03,0.0,0.0,1.0
67.84,7.16,48.71,1.8,1.32,1.71,113.0,63.48,53.96,404.29,15.06,89.81,1.06,0.0,0.0,0.0
55.97,7.72,48.3,3.73,0.77,2.11,72.95,57.82,70.92,364.47,20.51,91.47,1.47,0.0,0.0,0.0
40.24,6.96,54.65,2.1,1.02,2.23,120.41,58.0,28.82,298.76,18.81,64.0,1.3,2.0,0.0,0.0
73.89,5.76,53.72,1.14,1.9,1.64,153.64,65.3,45.09,100.87,17.67,47.67,1.48,0.0,0.0,0.0
73.98,8.42,56.67,1.9,0.72,2.14,169.89,59.99,70.91,345.39,22.1,85.33,1.02,0.0,0.0,0.0
73.53,7.05,45.0,2.59,1.45,1.47,124.0,64.51,42.22,242.38,14.23,51.0,1.4,2.0,0.0,0.0
41.94,7.34,52.19,2.22,1.39,1.29,74.79,60.1,59.5,147.1,15.06,43.94,1.98,0.0,0.0,1.0
52.56,6.21,51.7,1.82,0.68,1.75,112.2,61.86,25.46,277.85,16.42,59.26,1.31,1.0,0.0,1.0
79.25,6.95,47.39,1.39,0.99,2.48,167.94,65.21,57.35,394.22,19.43,82.63,0.74,2.0,0.0,0.0
68.6,6.79,49.72,3.46,1.34,2.83,111.93,62.15,68.86,484.67,11.82,86.92,0.97,1.0,0.0,1.0
31.36,5.72,46.28,3.99,0.78,1.92,154.48,62.31,42.37,249.64,20.02,57.4,1.28,1.0,1.0,0.0
33.26,5.82,42.84,1.99,1.7,2.29,126.08,65.78,25.02,317.09,14.41,64.54,1.22,2.0,0.0,0.0
53.2,8.01,44.28,2.14,1.96,1.21,86.18,68.98,25.34,440.5,12.51,86.18,1.37,2.0,1.0,0.0
75.46,6.22,42.11,2.85,0.82,2.81,169.42,57.53,66.82,233.6,14.93,65.01,1.31,0.0,1.0,0.0
56.94,6.08,53.66,3.16,0.78,2.14,62.63,61.54,58.68,156.9,23.28,63.22,1.82,2.0,0.0,0.0
54.89,7.01,53.21,2.18,1.18,2.56,128.73,51.73,29.12,212.75,23.04,57.88,1.44,2.0,0.0,1.0
35.27,7.81,59.01,3.71,1.62,2.59,81.33,57.18,26.62,459.65,21.35,89.29,0.99,0.0,1.0,0.0
62.84,5.69,54.59,2.68,0.92,1.51,60.06,58.24,62.63,163.76,20.62,57.97,1.98,0.0,0.0,0.0
71.11,7.23,41.04,2.35,0.53,2.06,125.44,66.7,62.87,231.69,13.59,68.1,1.34,2.0,1.0,0.0
49.02,5.86,57.68,2.94,1.31,2.92,124.93,60.27,29.79,285.86,15.88,65.93,1.32,0.0,1.0,0.0
68.78,5.61,57.25,3.86,1.93,1.18,156.04,64.62,38.47,438.85,21.01,81.17,0.82,0.0,1.0,0.0
78.22,5.66,48.87,3.38,1.09,2.37,161.71,50.38,61.44,475.09,13.91,94.09,0.59,0.0,1.0,0.0
40.19,8.0,51.72,1.12,1.13,2.92,159.17,59.29,49.22,270.32,11.41,70.62,1.25,1.0,0.0,1.0
56.17,5.85,59.52,2.0,1.95,1.6,111.43,68.03,69.92,472.78,16.93,92.72,0.89,0.0,1.0,0.0
44.36,5.64,50.65,2.41,1.54,2.72,144.75,54.49,47.09,164.58,8.38,46.59,1.4,1.0,1.0,0.0
69.64,6.81,58.11,1.94,1.58,2.87,136.54,50.63,56.49,162.74,12.54,52.0,1.58,2.0,1.0,0.0
58.88,8.03,41.66,3.1,1.34,2.49,113.23,58.67,48.47,479.7,24.12,83.34,0.88,1.0,0.0,1.0
61.73,6.29,43.82,3.48,1.96,1.46,139.58,64.09,69.26,303.87,20.33,75.73,1.34,1.0,1.0,0.0
69.9,6.77,48.82,3.19,1.53,1.67,192.09,59.09,43.14,174.36,14.9,56.17,1.09,1.0,1.0,0.0
49.8,5.62,51.7,3.97,1.84,1.07,78.93,59.2,35.03,295.2,19.68,63.09,1.4,1.0,0.0,1.0
75.75,6.85,56.32,1.82,1.55,2.66,185.87,63.4,39.68,413.28,13.4,75.46,0.75,1.0,0.0,1.0
56.65,7.23,59.77,3.62,1.6,2.7,58.02,55.09,64.93,430.77,22.9,89.83,1.51,1.0,0.0,1.0
37.9,7.21,47.78,3.3,0.94,2.27,96.26,65.04,47.9,445.59,17.04,80.82,1.13,2.0,1.0,0.0
64.79,6.5,40.95,2.09,0.96,1.71,93.22,53.06,41.0,327.83,9.77,58.94,1.48,2.0,0.0,1.0
69.66,6.45,56.02,3.2,1.67,1.15,143.95,57.92,50.12,446.78,16.57,85.8,0.75,2.0,0.0,1.0
45.84,5.82,52.09,1.31,0.95,2.51,69.68,63.12,30.4,304.01,14.59,64.07,1.51,1.0,1.0,0.0
72.86,6.6,43.97,3.37,1.34,2.45,182.35,66.57,24.26,342.82,19.01,73.23,0.87,0.0,0.0,1.0
75.31,5.8,49.9,2.6,0.87,2.83,174.28,65.83,37.47,403.49,15.9,74.37,0.7,1.0,1.0,0.0
43.85,7.8,54.85,1.88,1.73,2.46,147.81,64.43,53.04,270.17,9.82,66.75,1.06,2.0,0.0,0.0
79.18,8.4,55.41,2.97,0.67,2.66,118.76,57.18,58.16,129.43,15.71,56.26,1.62,1.0,0.0,1.0
37.04,8.41,49.99,2.92,1.74,2.49,189.94,52.45,63.68,240.07,12.63,56.05,1.23,2.0,0.0,0.0
40.1,8.1,46.1,1.63,1.4,2.26,174.61,54.34,68.48,349.58,7.56,75.92,0.95,0.0,1.0,0.0
39.21,7.3,59.47,1.09,0.78,1.85,124.9,67.3,43.78,176.93,14.81,52.85,1.45,0.0,0.0,1.0
74.7,7.6,53.27,2.3,1.31,2.8,155.28,67.15,59.54,159.35,6.52,55.71,1.2,2.0,1.0,0.0
62.71,6.36,48.16,2.71,0.92,2.3,135.04,69.03,27.58,217.23,11.07,54.9,1.35,2.0,0.0,0.0
37.61,7.39,45.61,3.63,0.99,1.8,138.19,51.52,26.76,112.84,16.11,46.86,1.54,1.0,1.0,0.0
52.02,6.87,54.62,3.78,1.03,1.17,99.65,60.74,29.99,397.37,20.03,76.89,1.25,1.0,0.0,1.0
60.76,6.95,44.84,2.59,0.59,1.58,119.31,62.97,45.53,203.49,17.03,62.82,1.47,1.0,0.0,1.0
34.17,7.77,43.43,3.26,1.98,2.09,61.72,64.21,34.14,149.7,19.37,54.57,1.96,0.0,0.0,0.0
74.12,6.35,50.6,2.32,0.55,1.55,103.6,62.88,37.77,379.65,22.09,81.69,1.3,0.0,1.0,0.0
70.18,6.45,45.8,3.24,1.49,1.44,154.37,65.4,55.1,437.17,10.02,89.81,0.85,0.0,0.0,1.0
55.26,8.27,52.58,1.61,1.06,2.05,192.98,57.19,41.21,107.95,9.91,56.21,1.31,1.0,0.0,0.0
78.36,5.67,42.36,2.11,1.47,1.34,194.46,53.59,50.75,193.44,14.04,65.85,1.14,2.0,0.0,1.0
50.89,6.96,53.1,2.9,1.03,2.6,133.36,54.09,43.8,478.09,20.05,84.21,0.7,2.0,0.0,1.0
79.21,8.24,45.67,1.05,1.51,1.97,140.99,50.24,32.11,254.1,10.45,60.53,1.36,1.0,1.0,0.0
63.4,7.33,40.0,3.17,1.59,2.15,77.86,57.01,27.55,475.44,14.8,82.13,1.33,1.0,0.0,1.0
61.73,7.14,42.54,3.51,1.54,1.29,154.3,51.83,35.34,209.69,23.33,64.15,1.32,2.0,1.0,0.0
38.3,6.25,58.67,2.2,0.67,1.65,60.6,56.43,26.77,187.23,11.88,53.17,1.74,2.0,0.0,1.0
74.1,6.53,57.35,2.34,1.49,1.82,92.7,62.56,53.69,185.64,18.44,63.48,1.66,0.0,0.0,0.0
51.37,8.06,44.67,3.55,0.92,2.62,150.25,67.89,62.19,134.09,20.14,46.7,1.44,1.0,0.0,1.0
38.11,7.18,55.57,3.33,0.54,2.54,96.55,66.79,40.31,458.57,17.05,73.76,1.1,0.0,1.0,0.0
30.63,7.04,52.17,1.86,1.12,1.45,57.48,55.05,42.58,491.93,18.65,94.53,1.2,0.0,1.0,0.0
57.99,5.8,59.42,1.97,1.15,2.23,174.78,52.68,63.18,481.8,23.52,93.7,0.45,2.0,0.0,0.0
56.37,5.55,47.47,3.04,1.2,1.49,96.55,53.86,34.69,440.81,14.0,87.36,1.15,1.0,0.0,1.0
65.97,8.39,53.63,2.69,1.56,2.98,59.47,69.42,29.72,438.76,12.24,72.57,1.55,2.0,0.0,1.0
74.51,6.63,41.27,1.49,0.96,2.9,61.22,60.99,48.05,364.43,12.91,77.33,1.33,0.0,0.0,0.0
33.97,7.31,47.92,1.93,0.97,2.13,87.76,53.65,55.02,430.49,9.94,77.04,1.31,1.0,0.0,1.0
66.57,5.74,59.28,3.7,0.59,2.4,76.7,66.81,52.78,183.34,16.47,63.8,1.79,0.0,0.0,1.0
39.37,7.55,50.78,3.06,1.53,2.6,166.15,57.9,58.27,255.17,18.99,67.76,1.07,0.0,1.0,0.0
72.91,8.3,45.76,3.96,1.35,2.44,98.25,67.98,26.72,356.33,16.31,70.82,1.16,2.0,0.0,1.0
70.95,7.23,42.41,3.3,1.02,2.4,170.7,55.21,44.55,449.91,19.19,88.73,0.77,1.0,0.0,1.0
57.04,5.88,54.07,3.83,1.56,2.92,76.08,57.86,35.45,364.19,19.12,73.5,1.43,1.0,0.0,0.0
65.51,7.25,52.9,1.65,1.31,2.19,123.93,60.1,60.44,435.61,13.03,85.48,0.86,1.0,0.0,0.0
45.72,7.8,47.48,3.31,1.2,2.27,153.21,67.85,65.89,289.58,10.75,65.35,1.25,1.0,1.0,0.0
53.56,6.72,59.02,1.06,1.27,2.7,147.8,67.38,37.5,386.92,21.84,83.4,0.94,0.0,0.0,1.0
71.08,8.14,40.44,3.01,1.45,2.34,140.17,61.49,28.57,491.99,14.8,85.94,0.86,2.0,0.0,1.0
52.96,7.45,46.07,2.41,1.49,2.47,188.72,54.44,36.16,161.4,14.23,56.47,1.3,1.0,0.0,1.0
47.89,8.2,58.42,2.04,0.93,1.47,84.28,58.07,28.99,470.77,20.18,76.52,1.23,0.0,1.0,0.0
54.71,7.37,46.42,3.59,0.71,1.74,124.06,69.51,39.48,308.95,11.77,76.2,1.16,2.0,1.0,0.0
71.41,5.89,45.05,3.56,0.73,1.29,182.6,62.16,49.83,357.29,2.61,76.95,1.07,2.0,0.0,0.0
46.76,6.43,50.68,1.07,1.46,2.01,61.68,65.62,70.74,451.15,21.31,98.28,1.2,2.0,1.0,0.0
38.69,6.11,56.48,2.83,1.81,1.91,58.38,59.0,43.17,263.86,21.57,70.43,1.77,1.0,0.0,1.0
65.6,8.23,42.06,2.1,1.11,2.99,85.0,60.64,34.56,267.48,13.42,51.83,1.49,0.0,0.0,1.0
71.3,7.78,58.86,2.25,0.75,2.22,144.95,58.58,32.01,310.87,14.28,71.76,1.16,2.0,1.0,0.0
35.03,7.53,55.9,3.5,1.63,2.57,88.98,64.06,32.31,107.64,17.33,52.18,1.83,2.0,0.0,1.0
41.99,6.4,43.63,1.93,1.75,1.67,78.54,67.03,33.24,298.67,5.56,70.03,1.56,2.0,0.0,1.0
37.1,6.05,54.24,3.83,1.82,2.66,118.82,60.15,60.59,216.43,18.62,65.14,1.58,0.0,1.0,0.0
47.4,7.77,47.7,1.54,1.41,2.23,142.04,59.62,26.93,471.18,5.7,81.85,0.79,0.0,1.0,0.0
52.52,6.92,48.05,2.99,1.79,2.39,87.28,56.81,71.88,135.09,16.45,58.03,1.71,1.0,0.0,1.0
67.44,6.18,55.67,3.02,0.52,1.59,95.1,53.54,49.09,283.73,14.32,75.49,1.25,1.0,0.0,1.0
62.56,7.35,59.26,1.76,0.66,2.1,142.03,68.78,50.13,478.99,18.0,95.58,0.85,0.0,0.0,1.0
61.05,5.62,42.53,1.97,0.64,2.27,191.86,56.32,41.16,460.41,8.12,83.66,0.6,1.0,0.0,0.0
47.62,6.48,48.41,3.5,1.57,2.18,151.21,66.01,57.13,380.54,23.66,75.84,0.99,0.0,0.0,0.0
72.07,6.91,49.62,3.29,0.6,2.83,167.44,64.31,46.63,335.74,18.14,79.51,0.98,1.0,0.0,0.0
53.56,5.94,47.53,1.99,1.24,2.8,105.02,65.82,39.79,212.29,12.03,64.07,1.63,1.0,1.0,0.0
78.96,8.45,47.26,2.6,1.21,2.94,90.84,68.74,36.73,246.78,14.66,63.32,1.5,0.0,0.0,0.0
61.71,6.13,41.05,1.19,0.97,2.33,118.14,62.47,68.43,136.05,21.24,52.71,1.67,2.0,1.0,0.0
36.31,5.89,53.71,1.63,1.81,2.94,171.07,67.96,37.97,414.44,12.66,70.88,0.81,2.0,1.0,0.0
63.81,6.11,48.72,2.46,0.76,2.66,118.44,53.35,44.95,229.55,10.28,65.96,1.35,1.0,0.0,0.0
46.26,7.81,43.9,1.26,1.03,1.54,177.01,62.53,40.82,367.11,8.23,72.32,0.81,2.0,0.0,0.0
64.32,6.78,56.32,3.53,1.66,1.85,198.32,65.45,28.14,243.04,15.08,57.25,1.11,2.0,0.0,0.0
33.48,7.2,56.05,3.15,0.55,1.48,60.8,55.43,32.92,285.73,25.44,67.52,1.71,1.0,0.0,1.0
38.74,5.56,49.73,3.83,1.51,1.01,56.81,64.82,33.1,322.0,13.56,66.34,1.65,2.0,0.0,0.0
72.79,5.6,45.97,3.08,1.72,1.38,72.44,65.57,57.3,420.74,13.06,81.26,1.28,0.0,0.0,1.0
41.36,6.84,52.76,3.82,1.9,1.01,107.66,66.62,43.52,184.46,18.38,53.76,1.37,0.0,1.0,0.0
71.85,7.95,45.76,2.66,1.81,2.44,69.66,56.26,61.53,259.51,15.0,71.8,1.47,2.0,0.0,1.0
43.96,8.16,44.72,2.8,0.98,1.85,180.6,63.63,58.03,152.03,19.53,52.11,1.27,0.0,0.0,0.0
62.14,5.76,54.61,3.93,1.38,1.63,53.47,56.09,33.22,130.3,22.02,42.31,1.82,0.0,1.0,0.0
64.71,7.12,40.81,2.93,0.62,2.52,97.37,64.78,51.02,341.87,15.16,69.64,1.44,2.0,1.0,0.0
55.63,8.24,41.9,1.09,0.89,2.66,77.7,59.26,59.66,175.64,12.31,66.7,1.68,0.0,1.0,0.0
45.27,6.66,40.14,3.17,0.64,2.95,189.73,61.95,54.39,123.92,18.3,50.37,1.28,1.0,0.0,1.0
40.63,7.99,43.06,3.72,0.97,2.28,150.42,58.32,52.8,458.84,10.52,88.9,1.0,1.0,0.0,0.0
31.66,5.9,41.38,3.39,1.81,1.92,186.8,53.24,59.5,313.73,9.75,71.73,1.04,1.0,1.0,0.0
45.2,8.31,59.92,2.75,1.02,1.61,195.85,53.56,26.73,153.85,17.17,49.74,1.25,2.0,1.0,0.0
62.66,7.75,45.78,3.01,1.34,1.44,124.56,51.55,59.11,121.37,20.84,60.83,1.66,0.0,1.0,0.0
76.92,8.32,42.99,3.97,1.15,1.43,85.15,62.36,37.09,147.94,10.19,52.84,1.7,2.0,0.0,1.0
73.56,7.53,44.82,1.27,1.19,1.82,79.06,66.97,51.45,288.53,11.31,77.48,1.6,2.0,0.0,1.0
68.3,6.59,58.72,3.0,1.95,2.98,83.44,50.42,35.63,367.39,20.12,83.56,1.37,0.0,0.0,0.0
69.42,8.31,50.4,1.85,0.94,1.0,156.29,51.32,64.26,356.51,15.72,86.42,0.99,0.0,0.0,1.0
63.25,6.33,47.3,2.92,1.44,1.39,56.07,59.15,47.07,157.77,13.55,52.59,1.97,0.0,1.0,0.0
43.01,6.5,57.47,2.82,1.13,1.38,57.7,64.75,54.86,353.4,20.74,77.19,1.57,2.0,0.0,0.0
75.36,7.6,47.9,1.46,0.59,2.43,141.22,53.15,62.12,261.95,12.92,76.03,1.17,2.0,1.0,0.0
63.54,7.8,46.7,1.62,1.23,1.7,146.31,55.43,66.98,285.9,20.27,75.97,1.29,1.0,1.0,0.0
58.02,8.29,44.15,2.86,1.72,1.91,149.79,54.64,59.14,420.57,15.85,89.71,0.9,2.0,0.0,1.0
35.55,6.11,47.56,1.38,0.65,1.3,105.78,57.98,31.14,233.0,20.07,65.78,1.51,0.0,0.0,0.0
52.35,7.89,46.33,1.8,0.6,1.81,170.89,54.5,65.02,158.8,10.87,65.4,1.2,2.0,0.0,1.0
53.02,7.72,53.55,3.51,0.73,1.21,130.04,57.05,53.69,449.38,16.59,80.77,0.82,1.0,0.0,1.0
73.23,5.69,45.79,1.98,1.65,2.07,65.82,64.57,53.25,184.85,5.42,58.88,1.66,0.0,0.0,0.0
57.33,6.66,51.54,2.46,1.59,1.2,169.56,62.22,68.22,217.61,23.35,62.2,1.46,1.0,1.0,0.0
49.02,6.35,41.32,3.82,1.35,2.58,192.96,51.62,35.94,382.64,25.57,74.89,1.0,2.0,1.0,0.0
78.84,6.41,43.83,1.68,1.2,2.13,59.01,62.75,35.5,373.42,12.72,75.52,1.29,2.0,0.0,0.0
35.54,8.45,48.15,2.17,1.83,2.45,108.7,59.54,48.63,420.16,17.64,82.28,0.96,1.0,1.0,0.0
51.13,7.43,58.74,2.82,1.65,1.84,123.13,68.69,60.04,173.55,19.56,56.44,1.49,1.0,0.0,0.0
32.1,7.65,47.55,3.27,1.72,1.76,71.97,55.79,45.47,240.91,9.26,56.87,1.77,0.0,0.0,0.0
67.0,8.43,53.28,3.7,1.72,1.2,180.16,64.52,54.43,150.35,23.76,48.32,1.36,0.0,0.0,1.0
75.9,6.63,45.1,3.75,1.46,2.05,92.62,64.62,45.72,316.42,13.74,79.95,1.62,1.0,0.0,0.0
44.0,7.91,42.54,3.33,1.19,2.03,167.45,54.43,53.3,217.03,3.98,68.57,1.2,0.0,0.0,1.0
72.92,6.8,41.17,1.68,1.8,1.94,150.65,68.06,63.47,375.57,9.92,81.97,0.93,1.0,1.0,0.0
44.61,8.11,46.11,1.07,1.89,2.48,139.71,59.82,32.66,100.14,7.95,32.26,1.61,1.0,1.0,0.0
75.54,6.04,43.15,2.15,0.54,2.67,78.82,63.58,57.38,123.87,14.64,49.77,1.84,2.0,1.0,0.0
67.7,8.34,43.48,1.42,0.58,2.5,83.11,52.92,61.8,273.02,14.51,72.17,1.54,1.0,1.0,0.0
70.25,6.16,55.22,3.13,1.94,1.29,57.1,55.16,45.46,483.27,23.89,91.66,1.26,0.0,0.0,1.0
30.9,6.48,40.32,2.98,0.92,2.24,86.11,61.72,39.52,456.34,22.55,81.99,1.37,1.0,1.0,0.0
